a is for arrival, d is for departure, condition is the processing time.
 units of time: seconds for cleanliness
type	time	condition
a		21		27
a		22		34
a		22		30
a		23		28
a		31		35
a		33		26
a		35		24
a		36		19
a		36		18
a		38		27
d		48		0
d		56		0
d		78		0
a		81		28
a		83		25
d		84		0
a		86		34
a		86		27
a		86		32
a		89		27
a		91		27
a		94		27
a		96		29
a		99		38
d		110		0
d		113		0
d		132		0
d		134		0
a		140		30
a		143		31
a		145		29
a		146		30
a		147		37
d		150		0
a		153		32
a		153		26
a		155		31
a		155		38
a		156		37
d		161		0
d		178		0
d		186		0
a		205		36
a		205		32
a		209		20
a		210		33
a		211		30
a		211		38
d		212		0
a		212		39
d		213		0
a		213		32
a		215		32
a		217		35
d		240		0
d		244		0
a		258		30
a		260		35
a		261		28
d		267		0
a		268		33
a		269		28
d		271		0
a		274		27
a		275		32
a		275		32
a		276		28
a		279		30
d		296		0
d		309		0
d		326		0
a		326		30
a		326		26
a		327		31
a		328		27
a		328		52
a		331		24
a		331		27
a		333		31
a		338		33
a		338		37
d		340		0
d		355		0
d		370		0
a		380		29
a		382		29
a		386		36
a		387		39
a		389		18
d		392		0
a		392		27
a		392		23
a		393		31
a		395		24
a		397		28
d		402		0
d		418		0
d		433		0
a		444		38
a		444		24
a		447		29
a		449		18
a		452		38
a		452		36
a		453		33
a		455		28
d		456		0
a		457		28
a		461		27
d		470		0
d		492		0
d		502		0
a		506		39
a		508		29
a		508		29
a		509		26
a		510		20
a		510		36
a		511		34
a		511		33
d		512		0
a		516		30
a		521		32
d		535		0
d		542		0
a		564		25
a		564		31
a		565		30
a		566		23
a		569		20
a		570		25
a		572		27
d		573		0
a		573		25
a		578		41
a		579		32
d		581		0
d		605		0
d		613		0
d		640		0
d		643		0
d		671		0
d		675		0
d		703		0
d		704		0
d		730		0
d		736		0
d		762		0
d		764		0
d		792		0
d		794		0
d		818		0
d		825		0
d		845		0
d		869		0
d		877		0
d		896		0
d		908		0
d		929		0
d		945		0
d		958		0
d		974		0
d		994		0
d		1012		0
d		1013		0
d		1036		0
d		1039		0
d		1063		0
d		1067		0
d		1091		0
d		1105		0
d		1115		0
d		1133		0
d		1134		0
d		1170		0
d		1171		0
d		1199		0
d		1203		0
d		1227		0
d		1230		0
d		1259		0
d		1266		0
d		1288		0
d		1292		0
d		1308		0
d		1328		0
d		1342		0
d		1361		0
d		1372		0
d		1393		0
d		1397		0
d		1424		0
d		1427		0
d		1447		0
d		1447		0
d		1472		0
d		1474		0
d		1497		0
d		1515		0
d		1529		0
